City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,East London,-33.01529,27.91162,27.58000000000004,41,0,3.6,ZA,1719658410
99,Lerwick,60.15339,-1.14427,10.939999999999998,85,99,8.98,GB,1719658411
100,Utrik,11.22778,169.84739,27.700000000000045,84,99,7.34,MH,1719658413
101,Swakopmund,-22.67842,14.52663,18.450000000000045,73,7,3.7,NA,1719658414
102,Guararapes,-21.26083,-50.64278,19.640000000000043,52,76,2.07,BR,1719658415
103,Mount Gambier,-37.8318,140.77919,9.180000000000007,64,88,3.76,AU,1719658416
104,Keflavik,64.00492,-22.56242,10.950000000000045,81,75,4.63,IS,1719658417
105,Tazacorte,28.64186,-17.93394,22.310000000000002,84,75,5.66,ES,1719658419
106,Victorica,-36.21505,-65.43586,1.7200000000000273,51,6,2.24,AR,1719658420
107,Hermanus,-34.4187,19.23446,24.350000000000023,50,23,8.57,ZA,1719658421
108,Tallulah,32.40848,-91.18678,25.03000000000003,94,75,0.0,US,1719658422
109,Radomsko,51.06713,19.44477,27.680000000000007,51,70,1.68,PL,1719658423
110,Port Mathurin,-19.68333,63.41667,22.350000000000023,72,47,9.85,MU,1719658425
111,Usinsk,65.99389,57.52806,9.810000000000002,84,100,7.38,RU,1719658426
112,Hirara,24.80379,125.30222,30.010000000000048,84,75,5.66,JP,1719658427
113,Bilibino,68.05464,166.43721,14.939999999999998,65,98,2.4,RU,1719658428
114,Alofi,-19.05451,-169.91768,24.360000000000014,100,94,2.06,NU,1719658429
115,Celendín,-6.8659,-78.14585,6.2900000000000205,87,77,1.18,PE,1719658430
116,Kulhudhuffushi,6.62207,73.06998,28.58000000000004,76,90,5.17,MV,1719658432
117,Batouri,4.43333,14.36667,31.350000000000023,49,97,0.09,CM,1719658433
118,Sokoni,-6.43333,39.55,28.900000000000034,71,63,7.36,TZ,1719658434
119,Ust-Nera,64.56968,143.237,11.850000000000023,70,100,2.07,RU,1719658435
120,Presidente Epitácio,-21.76333,-52.11556,20.410000000000025,48,97,0.93,BR,1719658436
121,Mirny,62.53528,113.96111,19.910000000000025,75,60,2.51,RU,1719658438
122,Punta Arenas,-53.15483,-70.91129,-4.889999999999986,93,0,1.54,CL,1719658439
123,Port Hedland,-20.31215,118.61059,22.010000000000048,43,2,3.6,AU,1719658440
124,Al Ghayzah,16.20787,52.17605,32.129999999999995,65,42,7.06,YE,1719658441
125,Ad Dawādimī,24.50772,44.39237,40.64000000000004,6,91,2.83,SA,1719658442
126,Longyearbyen,78.22334,15.64689,8.060000000000002,57,20,6.69,SJ,1719658443
127,Stanley,-51.69382,-57.85701,-1.5499999999999545,62,100,12.93,FK,1719658445
128,Laojunmiao,39.83333,97.73333,23.950000000000045,24,69,3.62,CN,1719658446
129,Dayr az Zawr,35.33588,40.14084,40.97000000000003,11,0,5.7,SY,1719658447
